section,section_label,order,date,kind,source,asset
03_4-6_months,03_4-6_months,23,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T07_07_41.789_0kp.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/023_2026-06-03_070741_photo.jpg
03_4-6_months,03_4-6_months,24,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T07_08_34.955_1ni.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/024_2026-06-03_070834_photo.jpg
03_4-6_months,03_4-6_months,25,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T07_08_50.440_mmw.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/025_2026-06-03_070850_photo.jpg
03_4-6_months,03_4-6_months,26,2026-06-03,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T09_54_42.390_yvf.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/026_2026-06-03_095442_video.mp4
03_4-6_months,03_4-6_months,27,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T13_30_00.267_ige.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/027_2026-06-03_133000_photo.jpg
03_4-6_months,03_4-6_months,28,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T13_30_12.268_lh0.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/028_2026-06-03_133012_photo.jpg
03_4-6_months,03_4-6_months,29,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T13_30_35.170_vu6.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/029_2026-06-03_133035_photo.jpg
03_4-6_months,03_4-6_months,30,2026-06-03,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T13_31_00.159_ekp.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/030_2026-06-03_133100_video.mp4
03_4-6_months,03_4-6_months,31,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T13_31_20.163_tko.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/031_2026-06-03_133120_photo.jpg
03_4-6_months,03_4-6_months,32,2026-06-03,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T13_32_21.035_3es.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/032_2026-06-03_133221_video.mp4
03_4-6_months,03_4-6_months,33,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T13_33_02.363_rv0.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/033_2026-06-03_133302_photo.jpg
03_4-6_months,03_4-6_months,34,2026-06-03,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T13_33_11.663_nn4.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/034_2026-06-03_133311_video.mp4
03_4-6_months,03_4-6_months,35,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T13_33_33.326_a58.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/035_2026-06-03_133333_photo.jpg
